"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"133",133,"comp",53,51,26,80.7692307692308,14,14,14,16,20,22,0,0,22,"1",4.05970794881897,0.554152603651451,0.451789470263192,1.22657264085554,0.595781383686121,-4.66159623613912
"134",134,"comp",43,45,42,7.14285714285714,9,8,7,8,16,30,0,0,9,"3",4.16914106891098,0.545454513267075,0.66666663216646,0.818181812241775,3.76537114213481,-5.35806445367267
"135",135,"comp",43,42,23,4.34782608695652,21,21,21,24,27,27,0,0,0,"4",3.30868425157912,0.599912753925185,0.733232935326603,0.818174859613973,0.000361027738333466,-6.96029336896433
"136",136,"comp",58,55,60,98.3333333333333,11,9,8,8,34,24,2,7,35,"2",4.08477797235087,0.79794744438385,0.538121551003803,1.48283866887578,9.80881013654669e-07,-6.02254298986731
"137",137,"comp",61,61,34,0,13,13,14,11,18,27,0,4,3,"1",4.05696474419538,0.29868349692352,0.590909090261905,0.505464379962637,1.3489638874608,-5.61642980499433
"138",138,"comp",46,45,20,35,19,14,28,18,37,18,0,3,25,"4",4.35047784830677,0.652483064016369,0.666666665338423,0.978724597974531,1.74943375997518,-8.07906689029415
"139",139,"comp",55,50,34,2.94117647058824,14,13,14,15,19,27,0,12,19,"4",4.03518433015973,0.52694658594783,0.639044056232677,0.824585692971327,0.131702023818004,-5.8343890172756
"140",140,"comp",60,58,28,28.5714285714286,17,14,14,9,33,28,16,15,15,"2",4.30301908568467,0.584100337198568,0.611111103273328,0.95580056403806,4.35807812206301,-6.61397454962471
"141",141,"comp",57,58,56,1.78571428571429,7,9,8,8,9,21,0,0,1,"3",4.35746916696338,0.555525296890906,0.678975361393318,0.818181819957235,3.1398551890498,-7.44248689380342
"142",142,"comp",51,50,41,85.3658536585366,16,22,19,11,33,34,10,8,38,"4",4.41144411548129,0.354755274670763,0.301127676478505,1.17808923716145,2.52767166230648,-8.42334997884466
"143",143,"comp",43,45,26,42.3076923076923,20,23,22,22,21,31,24,14,24,"4",4.18449691900628,0.210042260026401,0.550118728860261,0.381812596094606,1.7049131229927,0.850134594978602
"144",144,"comp",59,54,37,5.40540540540541,8,9,8,8,20,25,0,0,4,"3",5.07130495844075,0.606309598481739,0.521168555387779,1.16336565630022,5.15978272115057,3.15701694109681
