"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"100",100,"comp",39,38,37,2.7027027027027,7,9,8,8,22,32,13,8,26,"2",4.46695857390099,0.486126756075464,0.590909090641487,0.822676049115657,4.82594865659593,-7.95727849352558
"101",101,"comp",54,54,44,4.54545454545455,7,7,7,8,16,21,0,0,1,"3",3.77316015574482,0.826844982321113,0.987786320418118,0.837068670854968,0.0702192728171764,-6.57023683750652
"102",102,"comp",45,46,24,33.3333333333333,7,10,7,9,27,36,23,6,21,"2",4.12701989271122,0.427962784867707,0.47214654528051,0.906419392761727,1.27081486639473,2.10738503311162
"103",103,"comp",53,55,49,2.04081632653061,17,17,14,14,21,11,0,0,28,"1",4.12896390020129,0.294688917836777,0.445589381358102,0.661346365433129,2.08167526380739,-5.66312930949329
"104",104,"comp",55,54,40,27.5,15,13,16,8,31,23,38,19,19,"4",4.05887427306045,0.534318132108844,0.63018816400563,0.847870783088954,1.2143114179025,-2.61756033535339
"105",105,"comp",49,46,42,14.2857142857143,7,9,8,9,16,18,0,0,9,"3",3.60259930385055,0.262178993751674,0.815656849056893,0.321432958056834,1.35948630362825,-0.141628428812121
"106",106,"comp",53,54,25,4,15,8,7,7,20,27,0,0,5,"3",4.31533420853617,0.545307940946554,0.666667160369753,0.817961305674799,1.69177241386309,-7.70593063975354
"107",107,"comp",57,58,31,51.6129032258064,12,14,12,13,31,30,3,6,17,"1",4.31171159425415,0.609724386018984,0.595368115384092,1.02411326751287,3.01595765428515,-7.29348761368539
"108",108,"comp",59,59,53,11.3207547169811,28,23,27,34,38,32,23,18,35,"4",4.65452321440439,0.526302209869942,0.58482312677084,0.899933989915845,6.20596985289975,-7.76319956990339
"109",109,"comp",53,54,38,63.1578947368421,20,12,16,11,31,37,1,5,15,"1",4.42622696116561,0.578765303988641,0.553341577127863,1.04594580980656,6.2369017559754,-5.77708653096493
"110",110,"comp",50,54,28,32.1428571428571,19,10,10,8,31,25,17,10,36,"2",4.14646239160641,0.568401687387103,0.666666666660733,0.852602531088243,0.987904371705027,-2.80352835745567
"111",111,"comp",61,62,54,79.6296296296296,12,20,13,10,26,24,4,6,38,"1",4.57535599960933,0.703193983354617,0.666666664672844,1.05479097818652,2.74956708309445,-9.59094129912095
"112",112,"comp",56,54,59,6.77966101694915,30,19,20,20,37,31,25,19,32,"4",4.14985774145846,0.573316169415482,0.700719764734282,0.81818181571186,3.33122664203852,-5.4162488102232
"113",113,"comp",55,54,23,0,9,7,15,8,20,21,2,6,18,"2",4.44226603192323,0.455652711514877,0.666666666690169,0.68347906724822,3.53644998976668,-8.47270596572809
"114",114,"comp",57,56,43,13.953488372093,9,9,7,11,29,22,0,2,7,"1",4.29628138442494,0.461747949685662,0.521016329643802,0.886244678744216,2.35556652977967,-7.36867314294203
