"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma","alpha","beta"
"501",501,"control",61,60,29,0,12,15,16,8,26,31,1,1,21,"1",4.36719059532531,1.05042803628592,0.232797439934679,0.817630596351241,2.9729712021872,-8.9579272577647
"502",502,"control",51,56,32,6.25,9,10,8,11,23,23,9,14,27,"2",3.4473388092662,2.31819360126785,1.3356612159636,0.98253238530425,1.35596598555379,-3.5839415544545
"503",503,"control",53,54,28,10.7142857142857,13,15,8,10,18,26,17,12,21,"2",4.48805744254916,0.975799765111729,0.740501155069246,0.235298610042483,5.61192937481844,-5.21344050323472
"504",504,"control",57,58,38,2.63157894736842,12,17,14,8,31,26,4,0,19,"1",3.9856294323482,1.17596688789865,0.768024748211705,0.407942139686945,0.305336753923793,-7.4552308014383
"505",505,"control",58,55,35,8.57142857142857,17,21,16,11,31,21,12,12,46,"4",4.2721696767917,0.407925696898426,0.261550714140819,0.146374982757607,2.90934816313527,-8.1799058159827
"506",506,"control",59,61,44,0,8,20,19,10,19,22,4,1,17,"1",4.56377072301625,1.07642573015116,0.833039898156252,0.243385831994908,2.19876505809984,-9.23671971483064
"507",507,"control",61,58,55,0,14,8,12,9,26,21,6,13,21,"2",3.35333358845414,1.4139655205633,0.509748187596226,0.904217332967074,1.20779044793878,-4.7571525188716
"508",508,"control",57,52,20,30,26,30,26,27,38,29,12,13,25,"4",3.23098482624741,0.886779072991626,0.878869534209947,0.00790953878167899,8.55007970431919e-08,-6.78383556909707
"509",509,"control",53,53,42,0,13,12,16,9,29,24,0,0,6,"1",4.36679673558309,0.942825228041187,0.607163992669122,0.335661235372065,1.08323552813516,-9.13763839089622
"510",510,"control",57,54,40,5,8,7,10,10,18,20,0,0,16,"3",4.13743340250552,0.334025565115481,0.0649413860961436,0.269084179019337,0.981490615057613,-7.84869995463028
"511",511,"control",57,57,29,0,13,12,15,8,26,22,6,5,31,"2",4.81742069094348,1.45112256926669,0.78389135915925,0.66723121010744,5.0157539063669,-9.26472751711736
"512",512,"control",58,60,31,0,7,7,7,8,13,29,0,0,3,"3",4.36818860129027,1.14865492507411,0.341680260422913,0.806974664651197,3.23799721619016,-8.81949191982837
"513",513,"control",54,55,40,7.5,12,15,20,10,22,25,5,11,27,"4",4.30732216970031,0.90344351179777,0.578692297143083,0.324751214654687,3.83871471127908,-7.17366779973622
"514",514,"control",60,59,43,9.30232558139535,8,7,8,8,23,24,0,0,3,"3",4.40058144687027,1.81356632422071,1.51328549029847,0.30028083392224,3.10929689503127,-8.50597478493596
"515",515,"control",58,59,29,0,11,11,12,9,22,24,0,0,19,"3",4.38647650677875,1.47998314243681,0.747686942123902,0.732296200312908,2.12348777808723,-9.37508475577672
"516",516,"control",53,48,35,2.85714285714286,13,15,13,11,27,23,0,8,25,"1",3.47542456013739,1.21246905686952,0.823625761408214,0.388843295461306,8.81322704678491e-08,-9.19394942117417
"517",517,"control",52,51,21,0,18,15,13,17,36,25,4,16,40,"4",4.45560295860526,2.608206007135,1.71295197755463,0.89525402958037,3.12676351357081,-9.14106040943033
"518",518,"control",53,52,40,2.5,9,11,11,8,24,19,1,3,8,"1",4.27674605928779,0.959135242775674,0.607163992250419,0.351971250525255,0.117311221879251,-9.33699424931817
"519",519,"control",55,55,34,2.94117647058824,7,7,7,8,14,25,0,0,2,"3",4.23944280016268,0.653275126358875,0.361171818828865,0.29210330753001,2.75788815392788,-8.31108043300408
"520",520,"control",58,58,53,0,7,9,11,8,17,28,0,0,7,"3",4.72287987511494,1.04867245476655,0.279630549084686,0.769041905681864,4.97224409680933,-8.92006145066379
"521",521,"control",59,58,38,7.89473684210526,8,12,10,9,22,29,2,3,6,"1",4.44696826309808,1.3193861806263,1.09234965024018,0.22703653038612,4.11617918987764,-8.27815852021735
"522",522,"control",47,45,20,25,30,29,25,30,33,31,21,18,26,"4",2.42767843374409,1.4218048979799,1.24111494328004,0.18068995469986,3.42817501139837e-08,-4.39424255402804
"523",523,"control",51,53,43,2.32558139534884,14,16,13,9,23,29,15,12,24,"2",4.52244533685054,0.999999217481052,0.768024187233468,0.231975030247584,2.12998492830188,-9.74737495690102
"524",524,"control",61,62,38,5.26315789473684,7,7,7,8,14,12,2,13,8,"2",4.5213640535499,1.23333405476232,0.880361356076265,0.352972698686055,6.26422018943415,-5.40504979701095
"525",525,"control",58,56,44,9.09090909090909,18,14,15,12,26,22,0,1,28,"1",3.7644764329085,1.56399390049122,1.14514183300736,0.41885206748386,1.74835529422604,-5.56542506343355
"526",526,"control",51,46,27,0,13,9,8,9,21,34,23,11,16,"2",3.85400344320054,0.719085645527223,0.48052360104969,0.238562044477533,0.0804591806774999,-6.46942278945806
"527",527,"control",56,55,37,5.40540540540541,11,15,12,15,17,27,2,5,25,"1",4.42303439615755,0.614619323960282,0.484750607956426,0.129868716003856,0.559178667568165,-9.40554485770856
"528",528,"control",58,54,31,6.45161290322581,9,16,7,8,21,21,15,15,39,"2",4.16817773852379,0.251553091907257,0.0485731748195747,0.202979917087682,1.54745472067158,-8.23365258890131
"529",529,"control",59,57,48,2.08333333333333,12,11,12,7,29,27,0,0,30,"1",3.70444497055601,0.619610276018232,1.22178228616483e-07,0.619610153840003,1.68870668800251,-5.38732066644492
"530",530,"control",60,57,42,0,7,7,7,7,13,19,0,0,12,"3",4.27723788383666,0.352675382691174,0.0149063652302275,0.337769017460947,0.892982810518655,-8.97208463507482
"531",531,"control",62,62,34,2.94117647058824,7,13,7,9,15,21,6,25,37,"2",4.77787238395178,1.3835817033594,1.08351138461697,0.30007031874243,5.38152003997657,-8.71758843903572
"532",532,"control",58,58,41,2.4390243902439,12,20,12,8,37,45,0,7,35,"4",4.7099802564404,1.42985092152728,1.09888382280294,0.33096709872434,3.23889791237146,-10.0161413039786
